Name,Description
T-shirt,A classic and versatile T-shirt suitable for casual everyday wear.
Blazer,A tailored blazer that adds a touch of sophistication to any outfit.
Dress,An elegant dress suitable for various occasions, from casual to formal.
Jeans,Classic denim jeans that offer a timeless and comfortable style.
Skirt,A stylish skirt that can be dressed up or down for different looks.
Jacket,A fashionable jacket to add flair to your ensemble, perfect for various seasons.
Trousers,Stylish trousers suitable for both casual and formal occasions.
Blouse,A chic blouse that can be paired with skirts or trousers for a polished look.
Sweater,A cozy sweater to keep you warm while maintaining a stylish appearance.
Coat,A fashionable coat to add an extra layer of warmth and style in colder weather.
Shorts,Comfortable shorts for a casual and relaxed summer look.
Hoodie,A comfortable and casual hoodie for a laid-back and sporty vibe.
Jumpsuit,A stylish jumpsuit for a trendy and effortless outfit.
Cardigan,A knitted cardigan for a cozy and versatile addition to your wardrobe.
Leggings,Comfortable leggings perfect for active or leisure wear.
